key,LT,bg,bih,de,dk,en,es,fi,fil,fr,id,it,ja,ko,mne,nl,pl,pt,ro,ru,srb,tr,uk,vi,zh
tutorial_desc_drag_bin_connector,,,,,,Remove a connection by dragging an input,,,,,,,入力をドラッグしてコネクションを削除しましょう,,,,,Remova uma conexão arrastando a entrada,,,,,,,
korean,,,,,,Korean,Coreano,,,Coréen,Korea,,韓国語,,,,Koreański,Coreano,,,,,,,韓文
consumption,,,,,,Consumption,Consumo,,,Consommation,Konsumsi,,消費量,소모,,,Zużycie,Consumo,,,,,,,
lv.,,,,,,Lv.,Lv.,,,Niv.,Lv.,,Lv.,Lv.,,,Lv.,Nv.,,,,,,,Lv.
resource_payload_damage,,,,,,Payload Damage,,,,Dommages à la charge utile,Serangan Muatan,,ペイロードダメージ,적재 데미지,,,Obraźenia od ładunku,Dano de Payload,,,,,,,
achievement_game_completionist_desc,,,,,,Complete all Game requests,Completar todas las solicitudes del juego,,,,Selesaikan semua permintaan Permainan,,全てのゲームの依頼を完了する,,,,,Conclua todos os pedidos de jogo,,,,,,,
<!MissingKey:Nodes are interactive windows that can be placed on your desktop. Each node represents a specific component or process within your system.>,,,,,,"Nodes are interactive windows that can be placed on your desktop. Each node represents a specific component or process within your system.

[h]Functionality[/h]
Nodes serve two primary functions:
[l]Resource generation:[/l] Some nodes produce new resources.
[l]Resource transformation:[/l] Other nodes take resources as input and transform them into different resources as output.

[h]Example[/h]
A Network node provides Download Speed, which can be connected to a Downloader node, generating a file. A File Scanner can then take the file and scan it, generating a scanned file with improved value.

[h]Limits[/h]
Certain types of nodes have a limit on how many of itself can be active simultaneously.
Other types of nodes can be placed without restrictions.

[h]Adding nodes[/h]
New nodes can be added to your desktop by pressing the button located at the bottom center of your screen.",,,,"Les nœuds sont des fenêtres interactives que vous pouvez placer sur votre bureau. Chaque nœud représente un composant ou un processus spécifique de votre système.

[h]Fonctionnalité[/h]
Les nœuds ont deux fonctions principales :
[l]Génération de ressources :[/l] Certains nœuds produisent de nouvelles ressources.
[l]Transformation de ressources :[/l] D’autres nœuds prennent des ressources en entrée et les transforment en différentes ressources en sortie.

[h]Exemple[/h]
Un nœud Réseau fournit de la vitesse de téléchargement, qui peut être connectée à un nœud Downloader pour générer un fichier. Un Scanner de fichiers peut ensuite analyser ce fichier, générant un fichier scanné avec une valeur améliorée.

[h]Limites[/h]
Certains types de nœuds ont une limite sur le nombre pouvant être actifs simultanément.
D’autres types de nœuds peuvent être placés sans restrictions.

[h]Ajouter des nœuds[/h]
De nouveaux nœuds peuvent être ajoutés à votre bureau en appuyant sur le bouton situé en bas au centre de votre écran.",,,"ノードは画面上に配置できるウィンドウです。各ノードはシステム内の特定の設備や処理を表します。

[h]機能[/h]
ノードには主に2つの機能があります。
[l]リソース生成[/l]
新しいリソースを生成します。
[l]リソース変換[/l]
入力としてリソースを受け取り、出力として別のリソースに変換します。

[h]例[/h]
ネットワークノードはダウンロード速度を提供し、これをダウンローダーノードに接続することでファイルを生成できます。ファイルスキャナーはそのファイルを受け取ってスキャンし、価値が向上したスキャン済みファイルを生成します。

[h]制限[/h]
特定の種類のノードは、同時に配置できる数に制限があります。他の種類のノードは制限なく配置できます。

[h]ノードの追加[/h]
画面中央下部のボタンを押すことで、画面上に新しいノードを追加できます。",,,,,"Os nódulos são janelas interativas que podem ser colocadas na sua área de trabalho. Cada nódulo representa um componente ou processo específico dentro do seu sistema.

[h]Funcionalidade[/h]
Os nódulos têm duas funções principais:
[l]Geração de recursos:[/l] Alguns nódulos produzem recursos.
[l]Transformação de recursos:[/l] Outros nódulos recebem recursos e os transformam em recursos diferentes.

[h]Exemplo[/h]
Um nódulo de Rede fornece Velocidade de Download, que pode ser conectado a um nódulo de download, gerando um arquivo. Um Scanner de Vírus pode então pegar o arquivo e verificá-lo, gerando um arquivo verificado e com valor aprimorado.

[h]Limites[/h]
Certos tipos de nódulos têm um limite de quantos deles podem estar ativos simultaneamente.
Outros tipos de nódulos podem ser colocados sem restrições.

[h]Adicionando nódulos[/h]
Novos nódulos podem ser adicionados à sua área de trabalho pressionando o botão localizado na parte inferior central da tela.",,,,,,,
upgrade_hack_breach_damage,,,,,,Payload Damage,,,,,,,ペイロードダメージ,,,,,Dano Payload,,,,,,,
research_debugging_desc,,,,,,"Unlocks access to debugging, which tests a code for fixed or bugged code",,,,,,,コードをデバッグして修正済みコードとバグのあるコードに分類することができるようになります,,,,,"Desbloqueia o acesso à depuração, que testa códigos por códigos consertados ou bugados",,,,,,,
perk_auto_collect,,,,,,Auto Collector,Autocolector,,,,Pengambil Otomatis,,自動収集器,,,,,Auto Coletor,,,,,,,
resource_decimal_desc,,,,,,Complex variable produced from coding using int + float.,Una variable compleja producida a partir de la codificación utilizando int + float.,,,Variable complexe produite à partir du codage en utilisant int + float.,Variabel Kompleks yang diproduksi dari pengkodean menggunakan int + float.,,boolとintを使ってコーディングすることで生産される複素数型の変数です,int + float의 조합으로 코딩 시 생산되는 복소 변수,,,"Zmienna złożona wytworzona przy użyciu kodowania z wykorzystaniem typu int + float.
",Variável complexa produzida através da programação usando int + float.,,,,,,,
new_windows_utilities,,,,,,New utility nodes available,,,,Nouveaux nœuds utilitaires disponibles,Node peralatan baru tersedia,,新しいユーティリティノードが利用可能です,새 유틸리티 노드 사용가능,,,Nowe łączenia użytkowe są dostępne,Novos nódulos de utiliade estão disponíveis,,,,,,,
window_network,,,,,,Network,Red,,,Réseau,Jaringan,,ネットワーク,네트워크,,,,Rede,,,,,,,
tutorial_desc_select_uploader,,,,,,Select the Uploader on the nodes list,Seleccione el Cargador en la lista de nodos,,,,,,ノードリストからアップローダーを選択しましょう,,,,,Selecione o Uploader na lista de nódulos,,,,,,,
window_inject_trojan_desc,,,,,,Injects files with Trojans,,,,Injections de fichiers avec des Trojan,,,トロイの木馬に感染したファイルを注入します,,,,,Injeta arquivos com Cavalo de Tróia,,,,,,,
resource_vulnerability_desc,,,,,,Increases damage taken by breach targets; produced using Hack Power.,,,,Augmente les dégâts subis par les cibles infiltrées ; produit à l'aide de la puissance de hack.,Menaikkan serangan yang diterima oleh target penerobosan; diproduksi menggunakan Tenaga Retas.,,データ侵入の標的へのダメージを増やします。ハックパワーを使って生産されます,침투한 타겟이 받는 손상량 증가; 해킹 파워를 통해 생산,,,Zwiększa otrzymywane obrażenia przez cele naruszenia; generowane z wykorzystaniem Mocy Hakowania.,Aumenta o dano recebido pelos alvos de brecha; produzido usando Poder de Hack.,,,,,,,
achievement_trojan,,,,,,Uninvited Guest,,,,,Tamu Tak Diundang,,招かれざる客,,,,,Convidado Indesejado,,,,,,,
new_application_point,,,,,,New application point,Nuevo punto de aplicación,,,Nouveau point d’application,Poin aplikasi baru,,アプリケーションポイント獲得,새 어플리케이션 포인트,,,Nowy punkt aplikacji,Novo ponto de aplicação,,,,,,,
window_processor,,,,,,Processor,Procesador,,,Processeur,Processor,,プロセッサー,프로세서,,,Procesor,Processador,,,,,,,處理器
tutorial_desc_press5,,,,,,"You won't need the Bin node for now, so let's delete it","No necesitarás el nodo de la Papelera por ahora, así que eliminémoslo",,,,,,もうゴミ箱ノードはいりませんね、消しましょう,,,,,"Você não precisará do nódulo Lixeira por agora, então vamos exluí-la",,,,,,,
tutorial_desc_press4,,,,,,Let's add a node to collect the Money acquired from uploading,Agreguemos un nodo para recolectar el dinero adquirido al cargar,,,,,,アップロードで獲得したクレジットを収集するノードを配置しましょう,,,,,Vamos adicionar um nódulo para coletar o dinheiro adquirido do upload,,,,,,,
upgrade_optimization_decomposer,,,,,,Optimized Decomposition,,,,,,,デコンポジション最適化,,,,,Decomposição Otimizada,,,,,,,
tutorial_desc_press6,,,,,,That's all there is to it! Now start getting some cash to upgrade your setup,¡Eso es todo! Ahora empieza a conseguir algo de dinero para mejorar tu equipo,,,,,,説明は以上です！通貨を貯めてセットアップをアップグレードしましょう,,,,,Isso é tudo! Agora comece a ganhar dinheiro e melhore seu setup,,,,,,,
resource_game_desc,,,,,,Game file used in uploading and research.,,,,Fichier de jeu utilisé dans l'uploading et la recherche.,File permainan digunakan dalam mengunggah dan penelitian.,,アップロードやリサーチに使用するゲームファイルです,업로드와 연구에 사용되는 게임 파일,,,,Arquivo de jogo usado para upload e pesquisa.,,,,,,,
upgrade_premium_games,,,,,,Premium Games,Juegos Premium,,,Jeux Premium,,,高品質ゲーム,,,,,Jogos Premium,,,,,,,
service_application_reset,,,,,,Reinstall,Reinstalar,,,Réinstaller,Install Ulang,,再インストール,,,,,Reinstalar,,,,,,,
tutorial_desc_press3,,,,,,Now let's add a node to upload our downloaded files,Ahora agreguemos un nodo para cargar los archivos descargados,,,,,,では、ダウンロードしたファイルをアップロードするノードを設置しましょう,,,,,Agora vamos adicionar um nódulo para fazer upload de arquivos baixados,,,,,,,
resource_hack_power_desc,,,,,,Breaching speed that scales with Hack Level.,La velocidad de las brechas aumenta con el nivel de hackeo.,,,Vitesse d'intrusion qui évolue avec le niveau de piratage.,Kecepatan penerobosan yang membesar berdasarkan Level Retas.,,データ侵害速度です。ハックレベルに比例します,해킹 레벨에 비례하는 침투 속도,,,"Prędkość naruszenia, która rośnie wraz z Poziomem Hakowania.",Velocidade de brecha que escala com Nível de Hack.,,,,,,,
resource_array_bitflag_desc,,,,,,Array variable produced from a collection of BitFlag.,,,,Array généré à partir d'une collection de BigFlat.,Variabel Array yang diproduksi dari sekumpulan BitFlag.,,BitFlagの集合からなるArray型の変数です,BitFlag 획득 후 생산되는 배열 변수,,,Zmienna tablicowa wytworzona z kolekcji wartości typu BitFlag,Variável produzida de uma coleção de BitFlag.,,,,,,,
guide_window_synchronizer,,,,,,Synchronizes multiple Clock Speed into a single speed output.,,,,,,,複数のクロック速度を1つの出力にまとめます。,,,,,Sincroniza múltiplas Velocidade de Clock em uma única velocidade.,,,,,,,
tutorial_desc_press2,,,,,,"Connections go from left to right. Outputs send resources, while inputs receive resources","Las conexiones van de izquierda a derecha. Las salidas envían recursos, mientras que las entradas los reciben.",,,,,,左から右に接続されます。出力は入力にリソースを送ります,,,,,"Conexões fluem da esquerda para a direita. Saídas enviam recursos, enquanto entradas recebem recursos",,,,,,,
guide_window_breach_corps,,,,,,"Breach target. Insert any damage to attemp to breach corporations during the time limit. If you are successful, you will receive Corporation Data. Successfully breaching corporations at its maximum threat level will also raise its maximum threat level, increasing difficulty and rewards.",,,,,,,標的のデータに侵入します。任意のダメージを入力することで、企業データへの侵入を開始します。制限時間内に成功すると企業データを獲得できます。最大脅威レベルで成功した場合は最大脅威レベルが上昇します。脅威レベルが上がるほど難易度と報酬も上がります。,,,,,"Alvo de brecha. Insira qualquer dano para tentar invadir corporações durante o tempo limite. Se você for bem-sucedido, receberá Dados de Corporação. Invadir com sucesso corporações em seu nível máximo de ameaça também aumentará seu nível máximo de ameaça, aumentando a dificuldade e as recompensas.",,,,,,,
menu_enter_portal_desc,,,,,,Would you like to enter the portal now and claim queued research?,¿Quieres ingresar al portal ahora y reclamar la investigación en cola?,,,Souhaitez-vous entrer dans le portail maintenant et réclamer la recherche en file d'attente ?,Apakah kamu ingin memasuki portal sekarang dan mengklaim penelitian yang ditunda?,,ポータルに入って待機中のリサーチを獲得しますか？,지금 포탈에 입장해 대기중인 연구들을 수령하시겠습니까?,,,Czy chcesz wejść do portalu teraz i odebrać oczekujące badania?,Gostaria de entrar no portal agora e reivindicar pesquisas em fila?,,,,,,,你是否希望現在進入傳送門並獲得量子研究？
window_network_limiter_desc,,,,,,Splits Download and Upload Speed into two different outputs,Divide la velocidad de descarga y carga en dos salidas diferentes,,,Divise la vitesse de Download et d'Upload en deux sorties différentes,Membagi Kecepatan Unduh dan Kecepatan Unggah kedalam 2 aliran yang berbeda,,ダウンロード速度とアップロード速度をそれぞれ2つに分割します,다운로드와 업로드 속도를 두 개의 다른 산출로 분리,,,,Divide Velocidade de Download e Upload em diferentes velocidades,,,,,,,
window_gpu_cluster_desc,,,,,,Provides GPU Speed,Proporciona velocidad de GPU,,,Fournit une vitesse GPU,Menyediakan Kecepatan GPU,,GPU速度を生産します,GPU 속도 생산,,,,Fornece Velocidade de GPU,,,,,,,
guide_window_gpu_cluster,,,,,,"Hardware-type node. Generates multiple GPU Speed values based on its level and GPU count; its level can be upgraded with Money to enhance all GPU performance, and its GPU count can be upgraded with Money to increase output quantity. GPU Speed is measured in hertz (Hz), representing cycles (C) per second, and can also be boosted using Component Boost.",,,,,,,ハードウェアタイプのノードです。レベルとGPUの数に基づき、複数のGPU速度を生産します。レベルはクレジットでアップグレード可能で、全てのGPUの性能を強化します。GPUの数もクレジットで強化でき、出力の数を増やします。GPU速度はサイクル(C)毎秒、つまりヘルツ(Hz)で計算され、設備ブーストでブーストすることもできます。,,,,,"Nódulo do tipo hardware. Gera vários valores de Velocidade de GPU com base no seu nível e na contagem de GPUs; o seu nível pode ser atualizado com dinheiro para melhorar o desempenho de todas as GPUs, e a sua contagem de GPUs pode ser atualizada com dinheiro para aumentar a quantidade de saídas. A velocidade da GPU é medida em hertz (Hz), representando ciclos (C) por segundo, e também pode ser impulsionada com Impulso do Componente.",,,,,,,
upgrade_processing_value_multiplier,,,,,,Processing Value,Valor de procesamiento,,,,,,プロセス価格,,,,,Valor de Processamento,,,,,,,
august_12_2036,,,,,,"August 12, 2036","Agosto 12, 2036",,,12 Août 2036,"12 Agustus, 2036",,2036年8月12日,,,,"12 Sierpień, 2036",12 de Agosto de 2036,,,,,,,2036年8月12日
guide_window_ghost_attack,,,,,,"Adds to inserted damage the stealth modifier, that allows damage done to bypass firewall, but reduces damage by 25%.",,,,,,,入力されたダメージを3/4にする代わりに、ファイアウォールを貫通させる性質を付与します。,,,,,"Adiciona ao dano inserido o modificador de furtividade, que permite que o dano causado ignore o firewall, mas reduz o dano em 25%.",,,,,,,
upgrade_optimization_trainer_desc,,,,,,Reduces clock cycles required by the AI Trainer by half,Reduce a la mitad los ciclos de reloj requeridos por el Entrenador de IA,,,,,,Aiトレーナーに必要なクロックサイクルを半分にします,,,,,Reduz pela metade os ciclos de clock necessários pelo Treinador de IA,,,,,,,
window_download_manager_desc,,,,,,Downloads all file types with user controlled ratios,Descarga todo tipo de archivos con proporciones controladas por el usuario,,,Télécharge tous les types de fichiers avec des ratios contrôlés par l'utilisateur,Unduh semua tipe file dengan rasio yang dalam kontrol pengguna,,ユーザー指定の比率で全てのフォーマットのファイルをダウンロードします,직접 입력가능한 비율로 모든 유형의 파일을 다운로드,,,,Baixa todos os tipos de arquivos com proporções controladas pelo usuário,,,,,,,
resource_infected_computer,,,,,,Infected Computer,Computadora infectada,,,Ordinateur infecté,Komputer Terinfeksi,,感染コンピュータ,감염된 컴퓨터,,,Zainfekowany Komputer,Computador Infectado,,,,,,,已被感染的電腦
resource_array_string_desc,,,,,,Array variable produced from a collection of String.,,,,Array généré à partir d'une collection de String.,Variabel Array yang diproduksi dari sekumpulan String.,,Stringの集合からなるArray型の変数です,String 획득 후 생산되는 배열 변수,,,Zmienna tablicowa wytworzona z kolekcji wartości typu String,Variável produzida de uma coleção de String.,,,,,,,
window_network_desc,,,,,,Delivers Download and Upload Speed,Ofrece velocidad de descarga y carga,,,Délivre une vitesse de Download et de Upload,Menghasilkan Kecepatan Unduh dan Unggah,,ダウンロード速度とアップロード速度を生産します,다운로드 및 업로드 속도 제공,,,,Fornece Velocidade de Download e Upload,,,,,,,
perk_groups_desc,,,,,,"Unlocks the Node Group, allowing nodes to be grouped and moved together","Desbloquea el Grupo de nodos, lo que permite agrupar los nodos y moverlos juntos",,,,,,ノードをグループ化しまとめて移動できるようにする機能をアンロックします,,,,,"Desbloqueia o Grupo de Nódulos, permitindo que nódulos sejam agrupados e movidos juntos",,,,,,,
tutorial_desc_select_bin,,,,,,Select the Bin node by pressing its top,Seleccione el nodo de la Papelera presionando su parte superior,,,,,,ゴミ箱ノードの上部を押して選択しましょう,,,,,Selecione o nódulo Lixeira pressionando o seu topo,,,,,,,
window_data_lab,,,,,,Data Lab,Laboratorio de datos,,,Data Lab.,Data Lab,,データラボ,데이터 랩,,,,Laboratório de Dados,,,,,,,數據實驗室
tutorial_desc_connect_money,,,,,,Now connect your Money output to the Collector's input,Ahora conecta tu salida de Dinero a la entrada del Colector,,,,,,クレジット出力をコレクターの入力に接続しましょう,,,,,Agora conecte sua saída de Dinheiro à entrada do Coletor,,,,,,,
resource_neuron_video_desc,,,,,,Produced from AI training on Video files.,,,,Produit à partir de la formation à l'IA sur les fichiers vidéo.,Diproduksi dari pelatihan AI pada file Video.,,動画ファイルでAIをトレーニングすることによって生産されます,비디오 파일의 AI 트레이닝을 통해 생산,,,"Wytwarzane na podstawie treningu Sztucznej Inteligencji na Plikach Wideo.

",Produzido através do treinamento de IAs usando arquivos de vídeo.,,,,,,,
research_ai_sounds_desc,,,,,,Unlocks access to Sound generation,Desbloquea el acceso a la generación de sonido.,,,,,,音声合成が利用可能になります,,,,,Desbloqueia o acesso à geração de Som,,,,,,,
window_breach_bank,,,,,,Breach Banks,,,,Infiltrer Banque,,,銀行データ侵入,,,,,Invadir Bancos,,,,,,,
resource_array_decimal_desc,,,,,,Array variable produced from a collection of Decimal.,,,,Array généré à partir d'une collection de Decimal.,Variabel Array yang diproduksi dari sekumpulan Decimal. ,,Decimalの集合からなるArray型の変数です,Decimal 획득 후 생산되는 배열 변수,,,Zmienna tablicowa wytworzona z kolekcji wartości typu Decimal,Variável produzida de uma coleção de Decimal.,,,,,,,
achievement_infected,,,,,,What Could Go Wrong?,¿Qué podría salir mal?,,,,Apa Yang Bisa Menjadi Masalah?,,何か問題でも？,,,,,O que pode dar errado?,,,,,,,
menu_settings,,,,,,Settings,Ajustes,,,Paramètres,Pengaturan,,設定,세팅,,,Ustawienia,Configurações,,,,,,,設定
achievement_sound_completionist,,,,,,Sound Completionist,,,,,Sepuh Suara,,音声完璧主義者,,,,,Completista de Som,,,,,,,
guide_window_downloader,,,,,,Downloads files using Download Speed.,Descarga archivos utilizando la velocidad de descarga.,,,,,,ダウンロード速度を使用してファイルをダウンロードします。,,,,,Baixa arquivos usando Velocidade de Download.,,,,,,,
window_thread_manager,,,,,,Thread Manager,Administrador de hilos,,,,,,スレッドマネージャー,,,,,Gerenciador de Thread,,,,,,,
window_breach_corps,,,,,,Breach Corporations,,,,Infiltrer Entreprises,,,企業データ侵入,,,,,Invadir Corporações,,,,,,,
upgrade_game_downloader_desc,,,,,,Unlocks the Game Downloader,Desbloquea el Descargador de juegos,,,Débloque le Downloader de jeux,,,ゲームダウンローダーをアンロックします,,,,,Desbloqueia o Downloader de Jogo,,,,,,,
support_us,,,,,,Support us by purchasing items and gain badges!,¡Apóyanos comprando artículos y ganando insignias!,,,Soutenez-nous en achetant des articles et gagnez des badges !,Dukung kami dengan membeli item dan dapatkan lencana!,,アイテムを購入して私達を支援し、バッジを獲得しましょう！,아이템을 구매하여 저희를 도와주시면 뱃지도 드립니다!,,,Wesprzyj nas kupując przedmioty i otrzymaj odznaki!,Apoie-nos comprando itens e ganhe emblemas!,,,,,,,
guide_file_modifiers_ai,,,,,," AI: Increases quality by 2x, value by 10m.x, but removes research and neuron yield"," IA: aumenta la calidad en 2x, el valor en 10m.x, pero elimina la investigación y el rendimiento neuronal.",,," IA: Augmente la qualité par x2, la valeur par x10m., mais supprime le rendement des recherches et des Neurons"," AI: Menaikkan kualitas sebesar 2x, Nilai sebesar 10jt.x, namun menghilangkan penelitian dan hasil neuron",, AI:クオリティが2倍、数量が10m倍になるが、リサーチとニューロン生産量が0になる,,,,," IA: Aumenta a qualidade em 2x, valor por 10m.x, mas remove ganhos de Pesquisa e neurônio",,,,,,,
window_virus_scanner_desc,,,,,,Scans files for viruses. Scanned files are worth 4x more. Infected files are worth 4x less,Analiza archivos en busca de virus. Los archivos analizados valen 4 veces más. Los archivos infectados valen 4 veces menos.,,,Analyse les fichiers à la recherche de virus. Les fichiers numérisés valent 4 fois plus. Les fichiers infectés valent 4 fois moins,Pindai file untuk mencari virus. file yang dipindai bernilai 4x lebih tinggi. file yang terinfeksi bernilai 4x lebih rendah,,ファイルのウイルスをスキャンします。スキャンしたファイルの価値は4倍になります。感染したファイルの価値は1/4になります,파일을 스캔해 바이러스를 확인함. 스캔한 파일은 가치가 4배 증가. 감염된 파일은 가치가 4배 하락,,,,Procura por vírus em arquivos. Arquivos escaneados valem 4x mais. Arquivos infectados valem 4x menos,,,,,,,
breach_bank_success,,,,,,Bank breach completed,,,,Intrusion bancaire réussie,Penerobosan bank selesai,,銀行データ侵入に成功しました,은행 침투 성공,,,Naruszenie bezpieczeństwa banku zakończone,Banco invadido com sucesso,,,,,,,
achievement_coding_desc,,,,,,Unlock Coding,Desbloquea la codificación,,,,Buka Pengkodean,,コーディングをアンロックする,,,,,Desbloqueie habilidades em programação,,,,,,,
thank_you,,,,,,Thank You!,¡Gracias!,,,Merci !,Terima Kasih!,,ありがとうございます！,감사합니다!,,,Dziękujemy!,Muito Obrigado!,,,,,,,感謝
<!MissingKey:In Progress>,,,,,,In Progress,En progreso,,,En cours,Sedang Berlangsung,,進行中,진행중,,,W toku,Em Progresso,,,,,,,進行中
research_synchronizer_desc,,,,,,"Unlocks Synchronizer nodes, allowing CPU Cores and GPUs to work synchronously","Desbloquea el Sincronizador de nodos, lo que permite que los núcleos de CPU y las GPU funcionen de manera sincrónica.",,,,,,CPUコアとGPUシンクロナイザーを並列で動作させるシンクロナイザーをアンロックします,,,,,"Desbloqueia nódulos de sincronização, permitindo que núcleos de CPU e GPU trabalhem simultaneamente",,,,,,,
research_refinement_desc,,,,,,"Unlocks the Data Refiner, which refines files for increased research value","Desbloquea el Refinador de datos, que refina los archivos para aumentar el valor de la investigación.",,,"Débloque le Raffineur de données, qui traite les fichiers pour augmenter leur valeur en recherche",,,ファイルをリファインしてリサーチ獲得量を増加させるデータリファイナーをアンロックします,,,,,"Desbloqueia o Refinador de Dados, que refina arquivos para aumentar seu potencial de pesquisa",,,,,,,
resource_decimal,,,,,,Decimal,Decimal,,,Decimal,Decimal,,Decimal,Decimal,,,Decimal,Decimal,,,,,,,Decimal 
tokens_mined,,,,,,Tokens Mined,Tokens minados,,,Tokens minés,Token Ditambang,,マイニングしたトークン,,,,Wydobyte tokeny,Fichas Mineradas,,,,,,,
boost_bandwidth,,,,,,DNS Hijack,,,,,,,DNSハイジャック,,,,,Sequestro de DNS,,,,,,,
guide_window_payload_launcher,,,,,,Generates Payload Damage based on the Hack Power inserted.,,,,,,,入力されたハックパワーに基づきペイロードダメージを生産します。,,,,,Gera Dano de Payload baseado no Poder de Hack inserido.,,,,,,,
<!MissingKey:Tiny>,,,,,,Tiny,Diminuto,,,Minuscule,Mungil,,極小,아주 조그맣게,,,Malutki,Minúsculo,,,,,,,極小
resource_boost_code_desc,,,,,,Boost for Code Speed.,,,,Boost pour la vitesse du code.,Pelaju untuk Kecepatan Pengkodean.,,コーディング速度のブーストです,코드 속도 부스트,,,Wzmocnienie prędkości Kodowania,Impulso para Velocidade de Programação.,,,,,,,
menu_wipe_desc,,,,,,"Would you like to reset all your progress, including achievements?","¿Quieres restablecer todo tu progreso, incluidos los logros?",,,"Voulez-vous réinitialiser toute votre progression, y compris vos succès ?",Apakah kamu ingin mengulang semua kemajuan dan juga pencapaian kamu?,,実績を含む全ての進行状況をリセットしますか？,업적을 포함한 모든 진행상황을 초기화하시겠습니까?,,,"Czy chcesz wyczyscić cały twój postęp, wraz z osiagnięciami?","Deseja redefinir todo o seu progresso, incluindo conquistas?",,,,,,,你是否希望重置所有進度（包括成就）？
completed,,,,,,Completed,Completado,,,Terminé,Selesai,,完了しました,완료도미,,,Ukończone,Completo,,,,,,,
resource_overclock_desc,,,,,,Setting used to boost components.,,,,Réglage utilisé pour booster les composants.,Pengaturan yang digunakan untuk melajukan komponen.,,設備をブーストするために使用します,부품 부스트를 위한 설정,,,Ustawienie używane do zwiększenia wydajności komponentów,Configuração usada para impulsionar componentes.,,,,,,,
boost_code_speed_desc,,,,,,Doubles Code Speed for 10 minutes,,,,,,,コーディング速度を10分間2倍にします,,,,,Dobra a Velocidade de Programação por 10 minutos,,,,,,,
ratio,,,,,,Ratio,,,,Ratio,Rasio,,比率,비율,,,Stosunek,Taxa,,,,,,,比例
new_hack_level,,,,,,Hack level up,Nivel de hackeo aumento,,,Niveau de hacking augmenté,Level retas naik,,ハックレベルアップ,해킹 레벨업,,,Wyższy poziom hakowania,Nível de hack aumentado,,,,,,,
menu_completed,,,,,,Completed,Completado,,,Complété,Selesai,,完了,완료,,,Ukończono,Completado,,,,,,,已完成
research_infection_damage,,,,,,Infection Damage,,,,Dommages causés par l'infection,Serangan Infeksi,,感染ダメージ,감염 데미지,,,Obrażenia od infekcji ,Dano de Infecção,,,,,,,
window_code_optimization,,,,,,Code Optimization,,,,Optimisation de code,,,最適化コーディング,,,,,Programar Otimização,,,,,,,
milestone_system_desc,,,,,,Multiplicatively increases all components' performance by 100%,,,,,,,全ての設備の性能を乗算的に100%増加させます,,,,,Multiplicativamente aumenta a performance de todos os components em 100%,,,,,,,
window_ide,,,,,,IDE,,,,IDE,,,IDE,,,,,IDE,,,,,,,開發工具
resource_ai,,,,,,AI Power,Poder de la IA,,,Puissance de l'IA,Tenaga AI,,AIパワー,AI 파워,,,Siła Sztucznej Inteligencji,Poder de IA,,,,,,,
setting_mute_sfx,,,,,,Mute Sound Effects,Silenciar efectos de sonido,,,Couper les effets sonores,Bisukan Efek Suara,,効果音を消す,무음,,,Wycisz Efekty Dźwiękowe,Silenciar Efeitos Sonoros,,,,,,,
input_currency,,,,,,Input Currency,,,,Monnaie d’entrée,Masukkan Mata Tukar,,通貨を入力してください,화폐 입력,,,Wprowadź Walutę,Insira um câmbio,,,,,,,
research_redownload,,,,,,Re-download,,,,,,,再ダウンロード,,,,,Rebaixar,,,,,,,
stats_analyzed,,,,,,Files Pre-analyzed,Archivos preanalizados,,,Fichiers Pré-analysés,File Dipra-analisis,,分析したファイル,,,,,Arquivos Pré-analisados,,,,,,,已預分析檔案
setting_scientific,,,,,,Scientific Notation,Notación científica,,,Notation Scientifique,Notasi Ilmiah,,科学表記法,과학적 표기법,,,Notacja Wykładnicza,Notação Científica,,,,,,,科學記號
perk_hack_specialization_desc,,,,,,Multiplicatively increases Hack Power by 20%,,,,,,,ハックパワーを乗算的に20%増加させます,,,,,Multiplicativamente aumenta o Poder de Hack em 20%,,,,,,,
menu_sync_save_instructions,,,,,,"Press Export to receive a code, or insert a code to import","Presione Exportar para recibir un código, o inserte un código para importar",,,"Appuyer sur Exporter pour recevoir un code, ou entrez un code pour importer","Tekan Ekspor untuk menerima kode, atau masukkan kode untuk impor",,エクスポートボタンを押してコードを入手、またはコードを入力してインポート,,,,"Naciśnij eksportuj, aby otrzymać kod, lub wpisz kod, aby importować","Pressione Exportar para receber um código, ou insira um código para importar",,,,,,,
achievement_wasted_effort_desc,,,,,,Compress an enhanced file or vice-versa,,,,,Kompres file yang ditingkatkan atau sebaliknya,,拡張ファイルを圧縮、または圧縮ファイルを拡張する,,,,,Comprima um arquivo aprimorado ou vice-versa,,,,,,,
research_infect_payload,,,,,,Infect Payload,,,,Charge virale,,,感染ペイロード,,,,,Infectar Payload,,,,,,,
upgrade_optimization_encompressor_desc,,,,,,Reduces clock cycles required by the Encompressor by half,,,,,,,エンコンプレッサーに必要なクロックサイクルを半分にします,,,,,Reduz pela metade os ciclos de clock necessários pelo Comprimorador,,,,,,,
boost_hack_power,,,,,,Amplify Payload,,,,,,,ペイロード増幅,,,,,Amplificar Payload,,,,,,,
